Leader,Player,Team,Yds,GP
1932,Ray Flaherty^,New York Giants,350,12
1933,Paul Moss,Pittsburgh Pirates,283,10
1934,Harry Ebding,Detroit Lions,264,12
1935,Charley Malone,Boston Redskins,433,11
1936,Don Hutson^,Green Bay Packers,536,12
1937,Gaynell Tinsley,Chicago Cardinals,675,11
1938,Don Hutson^ (2),Green Bay Packers,548,10
1939,Don Hutson^ (3),Green Bay Packers,846,11
1940,Don Looney,Philadelphia Eagles,707,11
1941,Don Hutson^ (4),Green Bay Packers,738,11
1942,Don Hutson^ (5),Green Bay Packers,1211,11
1943,Don Hutson^ (6),Green Bay Packers,776,10
1944,Don Hutson^ (7),Green Bay Packers,866,10
1945,Jim Benton,Cleveland Rams,1067,9
1946,Jim Benton (2),Los Angeles Rams,981,11
1947,Mal Kutner,Chicago Cardinals,944,12
1948,Mal Kutner (2),Chicago Cardinals,943,12
1949,Bob Mann,Detroit Lions,1014,12
1950,Tom Fears^,Los Angeles Rams,1116,12
1951,Elroy Hirsch^,Los Angeles Rams,1495,12
1952,Billy Howton,Green Bay Packers,1231,12
1953,Pete Pihos^,Philadelphia Eagles,1049,12
1954,Bob Boyd,Los Angeles Rams,1212,12
1955,Pete Pihos^ (2),Philadelphia Eagles,864,12
1956,Billy Howton (2),Green Bay Packers,1188,12
1957,Raymond Berry^,Baltimore Colts,800,12
1958,Del Shofner,Los Angeles Rams,1097,12
1959,Raymond Berry^ (2),Baltimore Colts,959,12
1960,Raymond Berry^ (3),Baltimore Colts,1298,12
1961,Tommy McDonald^,Philadelphia Eagles,1144,14
1962,Bobby Mitchell^,Washington Redskins,1384,14
1963,Bobby Mitchell^ (2),Washington Redskins,1436,14
1964,Johnny Morris,Chicago Bears,1200,14
1965,Dave Parks,San Francisco 49ers,1344,14
1966,Pat Studstill,Detroit Lions,1266,14
1967,Ben Hawkins,Philadelphia Eagles,1265,14
1968,Roy Jefferson,Pittsburgh Steelers,1074,14
1969,Harold Jackson,Philadelphia Eagles,1116,14
1970,Gene Washington,San Francisco 49ers,1100,13
1971,Otis Taylor,Kansas City Chiefs,1110,14
1972,Harold Jackson (2),Philadelphia Eagles,1048,14
1973,Harold Carmichael^,Philadelphia Eagles,1116,14
1974,Cliff Branch^,Oakland Raiders,1092,14
1975,Ken Burrough,Houston Oilers,1063,14
1976,Roger Carr,Baltimore Colts,1112,14
1977,Drew Pearson^,Dallas Cowboys,870,14
1978,Wesley Walker,New York Jets,1169,16
1979,Steve Largent^,Seattle Seahawks,1237,15
1980,John Jefferson,San Diego Chargers,1340,16
1981,Alfred Jenkins,Atlanta Falcons,1358,16
1982,Wes Chandler,San Diego Chargers,1032,8
1983,Mike Quick,Philadelphia Eagles,1409,16
1984,Roy Green,St. Louis Cardinals,1555,16
1985,Steve Largent^ (2),Seattle Seahawks,1287,16
1986,Jerry Rice^,San Francisco 49ers,1570,15
1987,J. T. Smith,St. Louis Cardinals,1117,15
1988,Henry Ellard,Los Angeles Rams,1414,16
1989,Jerry Rice^ (2),San Francisco 49ers,1483,16
1990,Jerry Rice^ (3),San Francisco 49ers,1502,16
1991,Michael Irvin^,Dallas Cowboys,1523,16
1992,Sterling Sharpe,Green Bay Packers,1461,16
1993,Jerry Rice^‡ (4),San Francisco 49ers,1503,16
1994,Jerry Rice^ (5),San Francisco 49ers,1499,16
1995,Jerry Rice^ (6),San Francisco 49ers,1848,16
1996,Isaac Bruce^,St. Louis Rams,1338,16
1997,Rob Moore,Arizona Cardinals,1584,16
1998,Antonio Freeman,Green Bay Packers,1424,15
1999,Marvin Harrison^,Indianapolis Colts,1663,16
2000,Torry Holt,St. Louis Rams,1635,16
2001,David Boston,Arizona Cardinals,1598,16
2002,Marvin Harrison^ (2),Indianapolis Colts,1722,16
2003,Torry Holt (2),St. Louis Rams,1696,16
2004,Muhsin Muhammad,Carolina Panthers,1405,16
2005,Steve Smith,Carolina Panthers,1563,16
2006,Chad Johnson,Cincinnati Bengals,1369,16
2007,Reggie Wayne,Indianapolis Colts,1510,16
2008,Andre Johnson^,Houston Texans,1575,16
2009,Andre Johnson^ (2),Houston Texans,1569,16
2010,Brandon Lloyd,Denver Broncos,1448,16
2011,Calvin Johnson^,Detroit Lions,1681,16
2012,Calvin Johnson^ (2),Detroit Lions,1964,16
2013,Josh Gordon,Cleveland Browns,1646,14
2014,Antonio Brown,Pittsburgh Steelers,1698,16
2015,Julio Jones*,Atlanta Falcons,1871,16
2016,T. Y. Hilton,Indianapolis Colts,1448,16
2017,Antonio Brown (2),Pittsburgh Steelers,1533,14
2018,Julio Jones* (2),Atlanta Falcons,1677,16
2019,Michael Thomas*‡,New Orleans Saints,1725,16
2020,Stefon Diggs*,Buffalo Bills,1535,16
2021,Cooper Kupp* ‡,Los Angeles Rams,1947,17
2022,Justin Jefferson*,Minnesota Vikings,1809,17
2023,Tyreek Hill*,Miami Dolphins,1799,16